[20.093387,83.370464,85.674612]
[15.414899,27.115696,6.567583]
[22.544023,67.607654,35.450301]
[26.892911,5.481124,47.437971]
[28.974273,90.420240,53.120518]
[78.341014,49.375896,86.187323]
[6.015198,65.657521,49.598682]
[98.403882,32.496109,91.564684]
[71.663564,85.406049,54.274117]
[50.737022,2.075259,26.017029]
[69.884335,92.538224,7.858516]
[23.905148,4.119999,85.207678]
[6.396680,10.568560,61.564989]
[67.802973,72.176275,37.589648]
[12.323374,5.417035,33.582568]
[98.760949,88.158818,13.379315]
[62.858974,72.716453,17.050691]
[65.996277,12.335582,26.737266]
[74.394971,55.491806,0.097659]
[72.237312,78.899503,16.791284]
[98.181097,12.707907,11.362041]
[83.736686,26.410718,74.626911]
[84.408094,92.342906,5.090487]
[62.001404,41.300699,96.813868]
[69.527268,25.199133,12.060915]
[13.809626,99.655141,84.636982]
[4.837184,60.716575,67.784661]
[99.960326,60.829493,3.445540]
[57.686087,25.412763,50.770592]
[79.448836,58.021790,41.904965]
[41.160314,11.545152,83.391827]
[6.491287,8.328501,78.206732]
[25.968200,9.866634,28.501236]
[55.891598,90.997040,82.467116]
[21.939756,99.096652,19.129002]
[39.844966,79.329814,73.711356]
[48.884548,7.934812,48.500015]
[9.332560,22.183905,18.817713]
[9.643849,86.141545,86.251411]
[17.600024,17.123936,21.951964]
[94.869839,71.089816,35.999634]
[75.154881,62.224189,18.817713]
[51.429792,28.998688,72.377697]
[57.100131,79.015473,73.043001]
[97.531053,96.700949,54.289377]
[47.233497,28.235725,84.771264]
[29.386273,64.348277,68.608661]
[31.678213,55.107273,76.348155]
[99.716178,33.320109,76.412244]
[0.326548,64.268929,29.590747]
[19.571520,69.655446,75.704215]
[89.599292,98.995941,25.904111]
[4.824976,64.259774,21.936705]
[17.291787,47.102268,96.911527]
[19.171728,19.113742,23.746452]
[32.554094,79.775384,41.938536]
[19.718009,16.348766,18.115787]
[43.067721,11.777093,21.994690]
[51.240577,6.994842,89.663381]
[0.619526,14.670248,10.394604]
[23.599963,90.807825,94.857631]
[37.318033,81.212806,80.370495]
[6.338694,60.213019,46.958831]
[60.518204,91.753899,52.388073]
[47.242653,63.017670,72.823267]
[47.553941,34.315012,21.015046]
[30.451369,12.036500,32.084109]
